sample,year_CE,C16-alkanol-ug.gTOC,alcohol-mz-84-97-279-ug.gTOC,C18-alkanol-ug.gTOC,Phytol-ug.gTOC,alcohol-mz-57-267-95-497-ug.gTOC,C20-alkanol-ug.gTOC,C22-alkanol-ug.gTOC,C24-alkanol-ug.gTOC,C26-alkanol-ug.gTOC,C28-alkanol-ug.gTOC,cholesterol-ug.gTOC,cholestanol-ug.gTOC,Brassicasterol-ug.gTOC,Campasterol-plus-x-co-elutingug.gTOC,Campastanol-plus-x-ug.gTOC,Stigmasterol_ug.gTOC,4a-desmethyl-dinosterol-ug.gTOC,C30-alkanol-ug.gTOC,unknown-compound-M486,Fungisterol-ug.gTOC,Sitosterol-ug.gTOC,Chondrillasterol-ug.gTOC,Sitostanol-ug.gTOC,4a-24-dimethyl-5a-cholestan-3b-ol-ug.gTOC,Amyrin-ug.gTOC,Dehydrodinosterol-ug.gTOC,Dinosterol.ug.gTOC,maybe-single-22-dihydrochondrillasterol-ug.gTOC,a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-ug.gTOC,4a-23-24-cholest-17-20-en-3b-ol-ug.gTOC,Triterpenoid-mz-189-371-plus-alcohol-mz-227-410-500-ug.gTOC,Dinostanol-plus-isomer.ug.gTOC,maybe-another-Dinostanol-isomer-ug.gTOC,sterol-mz-75-255-388-500-ug.gTOC,C32-alkanol-ug.gTOC,maybe-Lanosterol-plus-co-eluter-ug.gTOC,Tetrahymanol-ug.gTOC,Diplopterol-ug.gTOC
GRE18_2018-2016-F3,2017,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2015-2013-F3,2014,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2012-2010-F3,2011,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_1946-1944-F3,1945,31.20770328,156.0385164,204.1875443,1683.43268,36.55759527,77.57343386,51.71562257,31.20770328,111.4560831,49.04067658,230.0453556,57.95716323,120.3725698,150.6886244,100.7562991,126.6141104,32.99100061,66.87364988,40.12418993,9.808135315,214.8873283,0,0,60.63210922,3.56659466,52.60727124,134.6389484,0,74.0068392,30.31605461,12.48308131,91.8398125,8.024837985,40.12418993,36.55759527,49.93232524,128.3974078,150.6886244
GRE18_1943-1941-F3,1942,24.96048005,46.2034418,94.53117978,823.1647678,284.6556874,68.50855164,71.6949959,62.13566312,258.1019852,140.2035475,227.8307648,75.41251421,48.32773798,158.260065,206.587803,188.0002115,156.1357689,36.11303497,80.1921806,38.23733115,10.62148087,254.915541,0,316.5201301,69.03962568,5.841814481,48.32773798,137.5481773,99.84192022,28.14692432,30.27122049,101.9662164,6.372888525,36.11303497,42.4859235,59.4802929,127.9888445,172.0679902
GRE18_1940-1938-F3,1939,81.5010142,106.0806851,179.819698,2085.39103,411.3860717,285.9003831,337.6470588,337.6470588,1428.208249,763.2634663,798.1924724,313.0673879,671.413117,895.2174893,824.0658102,549.8084291,115.1363534,316.9483886,95.73135001,31.04800541,962.4881677,0,1059.513185,238.0347081,46.57200811,221.2170385,630.0157764,0,419.148073,130.6603561,133.2476899,438.5530764,56.92134325,104.7870183,182.4070318,300.130719,282.0193825,304.0117196
GRE18_1937-1935-F3,1936,79.65724508,61.63261299,106.4034734,1366.383401,437.2426883,180.246321,245.9490122,255.8334879,936.1179897,497.7124218,507.5968975,242.4603737,469.2218743,576.2067874,524.4586501,347.1195279,69.77276942,237.8088558,64.53981171,18.0246321,605.2787747,0,745.987193,159.3144902,36.0492642,132.5682619,345.3752086,0,309.9073842,80.82012457,68.02845018,252.3448494,34.30494496,65.7026912,128.4981837,250.0190904,201.1781518,218.0399044
GRE18_24-26cm-F3,1930,34.23597799,27.5010315,38.16469678,701.3698442,155.6520967,57.24704516,79.6968668,83.62558558,285.4868984,162.1999613,156.2133422,83.43850373,131.5185384,191.0105657,169.3090715,113.3715992,20.20483947,69.40736521,19.45651208,6.360782796,196.0617756,0,207.2866864,51.8216716,9.354092347,39.4742697,112.8103537,0,115.4294996,34.04889614,17.58569361,78.20021202,12.72156559,21.70149424,46.77046173,99.34046072,74.64565693,83.99974928
GRE18_26-28cm-F3,1920,40.3540728,125.1893395,42.64691784,726.3733103,236.1630397,65.57536829,100.426613,111.4322692,392.9936408,205.8974851,177.4662065,92.63093983,135.2778577,207.7317611,178.3833445,117.8522353,12.38136324,62.82395424,10.0885182,0,237.9973157,0,200.853226,50.90116,8.254242163,36.22695171,104.0951651,0,119.2279424,25.67986451,20.63560541,72.45390343,0,25.2212955,38.06122775,124.7307705,99.96804397,88.96238775
GRE18_28-30cm-F3,1910,30.33544448,57.63734452,50.35683784,374.6427394,96.46671346,60.06418008,87.36608011,94.34323234,322.1624204,185.6529202,170.485198,78.56880121,107.9941824,164.1147547,163.2046913,132.2625379,11.22411446,63.70443341,3.943607783,0,197.1803891,0,165.9348813,44.89645783,8.493924455,40.04278672,115.274689,0,104.0505746,35.1891156,14.25765891,80.99563677,0,18.80797558,42.77297672,118.9149424,81.29899121,67.95139564
GRE18_30-32cm-F3,1900,15.97197269,11.6960115,20.12217032,239.9568811,222.6015092,46.15522817,74.82932088,84.63887891,247.2511678,170.1581028,109.2885375,61.37261948,70.17606899,126.6439095,141.1067194,99.47897952,8.048868128,53.70104204,3.521379806,0,143.4962271,0,125.7635645,34.08192598,8.929213079,31.31512756,76.46424722,0,72.81710384,15.72044556,10.06108516,56.09054977,0,14.08551922,27.41645706,90.04671218,70.30183255,58.1027668
GRE18_32-34cm-F3,1890,14.39142267,41.41921648,38.96214431,280.457237,175.1541442,58.96973193,100.0379381,113.3763298,285.020371,200.0758762,117.2374432,73.71216491,60.37377317,158.3056494,163.2197937,102.4950103,5.616164946,54.0555876,4.563134018,0,168.4849484,0,133.7349278,28.08082473,12.98738144,29.48486597,65.98993811,0,81.08338141,7.722226801,8.07323711,52.65154637,0,10.17929896,17.90152576,101.4419793,46.3333608,51.59851544
GRE18_34-36cm-F3,1880,15.51600155,10.83838344,28.97841467,257.1549081,207.0701678,47.68888713,72.90238965,83.62668484,188.2456071,149.2274267,125.2688949,51.22562277,45.06485745,98.80042165,112.6050995,79.06315497,3.879000388,37.99138616,4.791706362,1.825411947,112.833276,0,84.9957438,21.10632564,7.64391253,21.79085512,51.33971102,0,58.29909407,10.4961187,7.187559543,40.50132758,0,9.583412724,20.42179616,92.0692151,35.82370947,51.22562277
GRE18_36-38cm-F3,1870,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_38-40cm-F3,1860,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_40-42cm-F3,1850,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_42-44cm-F3,1840,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
