"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU10123"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10124"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10125"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10126"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU10127"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU10128"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10129"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	NA	NA	NA	NA
"OTU10130"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10131"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10132"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10133"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU10134"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Oligoflexales"	"Oligoflexaceae"	"Oligoflexus"	"tunisiensis"
"OTU10135"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU10136"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10137"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10138"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	NA
"OTU10139"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Herminiimonas"	"arsenicoxydans"
"OTU10140"	"Bacteria"	"Actinomycetota"	NA	NA	NA	NA	NA
"OTU10141"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10142"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	NA	NA	NA	NA
"OTU10143"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10144"	"Bacteria"	"Thermodesulfobacteriota"	NA	NA	NA	NA	NA
"OTU10145"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10146"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10147"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"	"Fangia"	"hongkongensis"
"OTU10148"	"Bacteria"	"Verrucomicrobiota"	NA	NA	NA	NA	NA
"OTU10149"	"Bacteria"	"Patescibacteria"	NA	NA	NA	NA	NA
"OTU10150"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10151"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10152"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10153"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10154"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU10155"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	NA
"OTU10156"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"rosea"
"OTU10157"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU10158"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10159"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU10160"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU10161"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10162"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10163"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10164"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10165"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Peregrinibacteria"	NA	NA	NA
"OTU10166"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10167"	"Bacteria"	"Chlamydiota"	"Chlamydiia"	"Chlamydiales"	NA	NA	NA
"OTU10168"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10169"	"Bacteria"	"Planctomycetota"	"Brocadiae"	"Brocadiales"	NA	NA	NA
"OTU10170"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Chthoniobacterales"	NA	NA	NA
"OTU10171"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"amylolyticus"
"OTU10172"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"	NA
"OTU10173"	"Bacteria"	"Patescibacteria"	"Parcubacteria"	"Candidatus Nomurabacteria"	NA	NA	NA
"OTU10174"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Beggiatoales"	"Beggiatoaceae"	"Beggiatoa"	"alba"
"OTU10175"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU10176"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Belnapia"	NA
"OTU10177"	"Bacteria"	"Chloroflexota"	"Dehalococcoidia"	"DscP2"	NA	NA	NA
"OTU10178"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU10179"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10180"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10181"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10182"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Beggiatoales"	"Beggiatoaceae"	"Beggiatoa"	"alba"
"OTU10183"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10184"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Herminiimonas"	"arsenicoxydans"
"OTU10185"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10186"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10187"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	"Cyanobacteriaceae"	"Geminocystis PCC-6308"	NA
"OTU10188"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10189"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10190"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU10191"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Amesbacteria"	NA	NA	NA
"OTU10192"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10193"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Planctomicrobium"	"piriforme"
"OTU10194"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Schlesneriaceae"	"Planctopirus"	"limnophila"
"OTU10195"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Aquabacterium"	"olei"
"OTU10196"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU10197"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10198"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10199"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10200"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10201"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10202"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	NA
"OTU10203"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	NA	NA	NA
"OTU10204"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10205"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU10206"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10207"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Amesbacteria"	NA	NA	NA
"OTU10208"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Amesbacteria"	NA	NA	NA
"OTU10209"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	"Oligosphaerales"	NA	NA	NA
"OTU10210"	"Bacteria"	"Ignavibacteriota"	"Ignavibacteria"	"Ignavibacteriales"	NA	NA	NA
"OTU10211"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10212"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10213"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU10214"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10215"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10216"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10217"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	"alkaliphilus"
"OTU10218"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	NA	NA	NA
"OTU10219"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10220"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10221"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU10222"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10223"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU10224"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10225"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10226"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10227"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10228"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10229"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10230"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10231"	"Bacteria"	"Candidatus Eisenbacteria"	NA	NA	NA	NA	NA
"OTU10232"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU10233"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	NA	NA	NA
"OTU10234"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10235"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Leptolyngbyales"	"Leptolyngbyaceae"	NA	NA
"OTU10236"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Dechloromonas"	"aromatica"
"OTU10237"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10238"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10239"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10240"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	NA	NA
"OTU10241"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU10242"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU10243"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	NA	NA
"OTU10244"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10245"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10246"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Xanthobacteraceae"	"[Rhodovulum]"	NA
"OTU10247"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU10248"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU10249"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10250"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Gallionellaceae"	"Gallionella"	"capsiferriformans"
"OTU10251"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU10252"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10253"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10254"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10255"	"Bacteria"	"Chlamydiota"	"Chlamydiia"	"Chlamydiales"	"Criblamydiaceae"	"Criblamydia"	"sequanensis"
"OTU10256"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10257"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10258"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	NA	NA
"OTU10259"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10260"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10261"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	NA	NA	NA
"OTU10262"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10263"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	"Microcystaceae"	NA	NA
"OTU10264"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"	"Gemmobacter"	NA
"OTU10265"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10266"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10267"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU10268"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10269"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Amesbacteria"	NA	NA	NA
"OTU10270"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU10271"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU10272"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10273"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU10274"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Kaistia"	"soli"
"OTU10275"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10276"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"	NA
"OTU10277"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10278"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10279"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10280"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	NA	NA	NA
"OTU10281"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Opitutales"	"Puniceicoccaceae"	NA	NA
"OTU10282"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"OTU10283"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10284"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	"alkaliphilus"
"OTU10285"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10286"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10287"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU10288"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10289"	"Bacteria"	"Thermodesulfobacteriota"	"Desulfobulbia"	"Desulfobulbales"	"Desulfobulbaceae"	"Desulfobulbus"	NA
"OTU10290"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	"Microcystaceae"	NA	NA
"OTU10291"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10292"	"Bacteria"	"Patescibacteria"	"Parcubacteria"	"Candidatus Nomurabacteria"	NA	NA	NA
"OTU10293"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Schlesneriaceae"	"Planctopirus"	"limnophila"
"OTU10294"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10295"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10296"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10297"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU10298"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"rosea"
"OTU10299"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"	NA
"OTU10300"	"Bacteria"	"Patescibacteria"	NA	NA	NA	NA	NA
"OTU10301"	"Bacteria"	"Chlamydiota"	"Chlamydiia"	"Chlamydiales"	"Simkaniaceae"	NA	NA
"OTU10302"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10303"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10304"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10305"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10306"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10307"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10308"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU10309"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10310"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU10311"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	NA	NA	NA
"OTU10312"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Schlesneriaceae"	"Schlesneria"	"paludicola"
"OTU10313"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"	NA
"OTU10314"	"Bacteria"	"Firestonebacteria"	"Candidatus Firestonebacteria"	NA	NA	NA	NA
"OTU10315"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10316"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10317"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10318"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10319"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"amylolyticus"
"OTU10320"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10321"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10322"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU10323"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU10324"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10325"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10326"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Pedosphaerales"	"Pedosphaeraceae"	"Pedosphaera"	NA
"OTU10327"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10328"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10329"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10330"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU10331"	"Bacteria"	"Sumerlaeota"	"Sumerlaeia"	"Sumerlaeales"	"Sumerlaeaceae"	NA	NA
"OTU10332"	"Bacteria"	"Patescibacteria"	NA	NA	NA	NA	NA
"OTU10333"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU10334"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10335"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10336"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	NA	NA
"OTU10337"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU10338"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Amesbacteria"	NA	NA	NA
"OTU10339"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10340"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Janthinobacterium"	"agaricidamnosum"
"OTU10341"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10342"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"SH-PL14"	NA
"OTU10343"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU10344"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU10345"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU10346"	"Bacteria"	"Thermodesulfobacteriota"	"Syntrophia"	"Syntrophales"	"Syntrophaceae"	NA	NA
"OTU10347"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU10348"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU10349"	"Bacteria"	"Chlamydiota"	"Chlamydiia"	"Chlamydiales"	NA	NA	NA
"OTU10350"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	NA	NA	NA
"OTU10351"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"OTU10352"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10353"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10354"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10355"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10356"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Kaistia"	"soli"
"OTU10357"	"Bacteria"	"Chlamydiota"	"Chlamydiia"	"Chlamydiales"	"Criblamydiaceae"	NA	NA
"OTU10358"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10359"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU10360"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	NA
"OTU10361"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"	"Rhodobacter"	NA
"OTU10362"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU10363"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10364"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"	"marisgermanicae"
"OTU10365"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10366"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	NA	NA	NA	NA
"OTU10367"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU10368"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10369"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU10370"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	NA
"OTU10371"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU10372"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	NA	NA	NA	NA
"OTU10373"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylotenera"	"versatilis"
"OTU10374"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Opitutales"	"Puniceicoccaceae"	NA	NA
"OTU10375"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU10376"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
