"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU83"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU84"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"rosea"
"OTU85"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU86"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU87"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU88"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"amylolyticus"
"OTU89"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	NA	NA
"OTU90"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	"denitrificans"
"OTU91"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU92"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU93"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	NA
"OTU94"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU95"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"stagni"
"OTU96"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU97"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU98"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU99"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	NA	NA
"OTU100"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
