"GRE24SC-02DNA10-12"	"GRE24SC-02DNA12-14"	"GRE24SC-02DNA14-16"	"GRE24SC-02DNA16-18"	"GRE24SC-02DNA18-20"	"GRE24SC-02DNA2-4"	"GRE24SC-02DNA20-22"	"GRE24SC-02DNA22-24"	"GRE24SC-02DNA28-30"	"GRE24SC-02DNA30-32"	"GRE24SC-02DNA34-36"	"GRE24SC-02DNA38-40"	"GRE24SC-02DNA4-6"	"GRE24SC-02DNA50-52"	"GRE24SC-02DNA6-8"	"GRE24SC-02DNA60-62"	"GRE24SC-02DNA8-10"	"MUR23DNAD1110-12"	"MUR23DNAD1113-15"	"MUR23DNAD1122-24"	"MUR23DNAD1128-30"	"MUR23DNAD1131-33"	"MUR23DNAD1134-36"	"MUR23DNAD1137-39"	"MUR23DNAD1143-45"	"MUR23DNAD1146-48"	"MUR23DNAD1152-54"	"MUR23DNAD1164-66"	"MUR23DNAD1170-72"	"MUR23DNAD1176-78"	"NEU24CDNA10-12"	"NEU24CDNA13-15"	"NEU24CDNA16-18"	"NEU24CDNA19-21"	"NEU24CDNA22-24"	"NEU24CDNA25-27"	"NEU24CDNA28-30"	"NEU24CDNA31-33"	"NEU24CDNA34-36"	"NEU24CDNA37-39"	"NEU24CDNA4-6"	"NEU24CDNA40-42"	"NEU24CDNA52-54"	"NEU24CDNA7-9"	"ZUG24N02DNA1-3"	"ZUG24N02DNA10-12"	"ZUG24N02DNA13-15"	"ZUG24N02DNA16-18"	"ZUG24N02DNA19-21"	"ZUG24N02DNA22-24"	"ZUG24N02DNA25-27"	"ZUG24N02DNA31-33"	"ZUG24N02DNA34-36"	"ZUG24N02DNA37-39"	"ZUG24N02DNA4-6"	"ZUG24N02DNA40-42"	"ZUG24N02DNA47-49"	"ZUG24N02DNA7-9"	"ZUG24S03DNA1-3"	"ZUG24S03DNA10-12"	"ZUG24S03DNA13-15"	"ZUG24S03DNA16-18"	"ZUG24S03DNA19-21"	"ZUG24S03DNA22-24"	"ZUG24S03DNA25-27"	"ZUG24S03DNA28-30"	"ZUG24S03DNA31-33"	"ZUG24S03DNA34-36"	"ZUG24S03DNA37-39"	"ZUG24S03DNA4-6"	"ZUG24S03DNA40-42"	"ZUG24S03DNA7-9"
"ASV79"	1.11600817714448	0	0	0	0.075829636084264	4.02722923950711	3.31119080609667	7.08693626833051	0.713997811942189	0.276520100884257	0	0.352380952380952	6.22622963832862	1.82623270707728	1.37003367003367	0.99714653036907	5.4530532973549	0	0	0	0	0	1.34599453050535	15.2234432234432	0.145360910374616	0	0	0	0.600682593856655	0.375956608960547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68423289417765	1.63875264513377	0	0	0	0	0	0	0	0	0	0	0	0.026419741512658	0	0	0	0	6.05615383373428	0.489906740644552	7.03966225114261	0	0	0	0
"ASV81"	0	0	0	0	0	0	0	0	0	2.28205050290194	3.62366939548148	4.27936507936508	0	20.4563080079053	0	2.11658461634944	0	0	0	0	0	0	0	0	0	0	0.300577487456215	0	0	0	8.1906053925725	22.150826154498	35.1390346274921	33.378181410472	4.82259731312435	11.2224448897796	0	0	0	35.9375	36.758691206544	39.5604395604396	0	25.8914100486224	0	0.0778216172888505	0.0626878748055165	0.338220711148888	0	2.15943491422805	2.16456730149177	20.4918138705467	3.22555910543131	9.12412681354111	0.00445038428393991	34.2774160130235	95.815009511342	0	0.00508654391140694	0	0.0481521095311348	0	0.10761974357271	0	0.0363738198626808	1.1576279122334	8.90390744894345	0	13.2234170719736	0	8.5384715456556	0
"ASV82"	0.0394688904181678	0.2598557917408	0.101090840699643	0.0381077242434175	0.610295536029055	0.372805775399968	0.353788002282175	0.602404609530615	0	0	2.50755955453942	0	0.583913316538919	0	0.62053872053872	0	0.439131705137239	6.7551073707101	13.2696502709169	6.72000147469515	10.3220824771951	17.1683875286529	8.14544936263462	6.17059131344846	0.664507018855387	4.16853108052478	0.688724794092587	0.650063688672201	4.56200227531286	5.41942194813879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528306189544098	0.800784441902272	2.03320191537892	2.26838079048024	1.85528452617247	0.128657921291625	0	0	0	0	0.62777390429516	0	0	0.749906487927893	0.201281809065675	0.433581432345672	0.26419741512658	0.184261743807078	0.807148076795323	0.656552402433287	0.729407750520661	0	0	0.898597877449841	0	0.602866174633194	0	0.131060476836213
"ASV85"	1.32600291462575	1.90014670537191	0	0.12673440402054	5.00974477340907	0.843447320587221	4.71233393104573	0.146427062793334	0	0.410222127685436	0.683432898197999	1.00952380952381	1.38005262457479	0	0.675757575757576	0	6.57451489266624	0	0.726549855745549	0	0	0	0.280601109933279	0.355834641548927	0	0.486835746630631	0.657957019786046	0	0	0.255591054313099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05957697497197	0.260702417917649	0	0	0	0.509586276488396	0	0	0	0	0.0686438060765277	0	0	0.416581198643773	0.394425147873098	0.327760574983665	0.680521406382498	0	0.216346686153369	1.06627703816137	3.80766296597921	5.74616142209019	0	0	0	0.176831641257075	0	0.286488982028908
"ASV91"	0.0554082500101202	0.0382370384243219	0	0	0	3.35885645432872	0	0	0	0	0	0	1.52363786634665	0	0.194612794612795	0	0	40.3787422516669	5.06473858278798	3.7125450473285	0.857228860474551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840728986526292	0.249029175324322	0.390477485234362	0	0	0	0	0	0	0	0.565198804060369	0	0	0.500138759848933	0.163060064817102	0.0285858356296696	0	0.0245682325076104	0	0	0	0	0	0	0	0.0419889804529348	0	0.0248949046452707
"ASV95"	0.699560782091244	5.28334425820145	4.33750235094978	1.94795149131432	0.640893459361302	0.309984912694449	0.301573070339881	0	0	0	0	0	0.452935559410437	0	0.490909090909091	0	1.1236099891721	0	0.198789669973964	0	0	0.423960890115017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928411894255986	0	0.552486187845304	0	0	0	0	0	0	0.0129465724623707	0	0	0.459114108860118	0.207966981063524	0.793833981989148	1.56643499678276	2.2645000556624	1.25822095263403	2.50303215144444	2.02277065501846	0	0	0	0	0.0593990455187858	0	0.0619738234687823
"ASV112"	0.243897502327653	0.728844773230952	0.560113785969532	0.0776138970829236	0.507859010090663	0.23583569769777	0.554242399543565	0.791574349718583	4.00760062186906	6.78537786015983	2.43380780293532	3.91111111111111	0.192147404842675	0	0.178787878787879	9.28161550280644	0.171441830087826	0.393346160611019	2.52269368798818	9.60856060536236	8.49376382363334	9.5979471367426	3.22290417694795	5.7519623233909	8.78395215549464	8.33885199835335	13.1899081700275	0.623709755347652	0.55745164960182	1.52760234787131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494945485957089	0.123109922810834	1.06070264910044	0	0.678607467204844	0	0	0	0	0	0	0	0	0.0292112950340798	0.0593022925485071	0.461919351608408	0.0349329555967585	0.160986735755885	0.22342168537971	0.0914173879734632	0	4.21437846771337	2.84394608412735	0	0.208579406965392	0	0.0214043492320449
"ASV131"	10.0923976844918	0.296922308580704	1.17900131653188	0.682617720965804	5.19798851912703	0	0	0	0	0	0	0	0.126074846433833	0	0.037037037037037	0	0	0.141775174420774	0	0	0	0.795180234091324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126886300811166	0	0	0	0	0	0	0	0	0	0	0.0190040662668774	0	0	0.0413341117214166	0	0	0	0	0	0	0	0	0	0	0
"ASV133"	0.395447921305105	0.672269563317414	0.974468685348881	4.89780399868895	0.275048723867045	0.166835733742527	0	0	0	0	0	0	0.120704991863503	0	0	0	0	0	0	0	1.13206559436716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655420230907514	0	0	0	0.0582772602421195	0.0925044743047072	0	0	0	0	0	0	0	0	0	0	0	0.194549069635263
"ASV138"	0	0.0932515528919687	1.36884051156667	0.201901016060308	2.30681735035287	0	0.0188483168962426	0	0	0	0	0	0	0	0	0	0	0	0	0.116132243287833	0.367757724875342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24048436174601	3.27563027748826	0	0	0	0	0	0	0	0.0849618817843074	0	0	0	0.0497028005057478	0	0.696714151180579	0.633015865703899	0.915432139772803	4.62872990091426	3.74328452374438	0	0	0	0	0.470413130602798	0	0.127108904670297
"ASV139"	0	0	0	0	0	0	0	0	2.17078367017908	2.40663648242122	0.668682547877179	1.6	0	1.87876816851375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461193833179602	1.04891922639363	0	1.66186196371036	0.713176105069905	4.95802728226653	7.17569234219083	4.47812607647261	0	15.4727793696275	0	0	0	2.96523517382413	0	0	3.80875202593193	0	0.0645919423497459	0.0913883476080422	1.00580818812863	3.08065812568691	8.21392532795156	40.2777180688706	12.2527039425226	17.3239616613419	0	0	4.9874204528637	0	0	0	0.0259225590182097	0.0762763504962224	0	0.291193339090768	0.532665668952897	0.838529210108703	0.86862457012771	2.1544091606658	0.556782090014718	10.1423408147785	0	4.58796490365852	0
"ASV140"	0.00455410274055783	0	0	0	0.149331169306292	0.225537195614898	0.168106610155677	0.00918299709650328	0.305176484136581	1.74724239569723	1.57337070088748	1.08888888888889	0.310517677327774	0	0.271380471380471	0	0.112146159531135	1.8857164176718	4.13763985644923	1.41939408462907	1.7445588870421	1.58731768667465	0.0855165287415708	0.180010465724751	7.20990115458094	1.02736661237494	6.68370728012875	15.4258356393025	13.0602957906712	13.5968496916561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574323535591717	0.163894805214423	1.22007366482505	2.26702317875363	0.186680121089808	0.449249817290744	1.43434943853619	6.03961661341853	0	0.289409838585911	4.04580435104336	0	0.172243203783921	0.104928134401023	0.305921706769694	0.271015412936299	0.0138196307855308	0.164308332779734	0.207817631162715	0.153220692518903	0	0	1.34305523278333	0	0.250568387418326	0	0.159643515503006
"ASV143"	0.497662227259847	0.150997284389924	0.613891762271958	0.360974543865399	0.300657855351643	0.653439957158231	0.0534884668677154	0.669523970126876	0	0	0	0	0.393400215261127	0	0.690909090909091	0	1.80465084302975	0.555907920755139	5.40778270353951	5.55591398840521	5.59619940059417	11.3871026634481	0.465886922206683	0	1.69864606694908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59443948233595	0.217122312235893	0.053624567604719	0	0	0	0	0	0	0	0.0161832155779633	0	0	0.0180991107303594	0.408812800651078	0.419377290417886	0.297009029585849	0.238004752417476	0.272370955955623	0.487272056685273	0	0	0	0	0	0	0	0.104453224252379
"ASV144"	0.434410800307655	0.59423479102288	0	0.00349612149022179	2.40526284281315	0	0	0	0	0	0	0	0	0	0.0164983164983165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438228083844853	0.497280134475755	3.53997673751152	0.0336449922085281	0	0	0	0	0	0	0.535529575500769	0	0	0.448556294267408	1.32860526965949	0.636345558364819	0.0191756188398324	0.0119002376208738	2.41369383733032	1.74576267179236	0.999475315695786	0	0	0	0	0.503867765435217	0	0.318496716572828
"ASV155"	0.182417115330122	1.56693822767425	0.821950818130525	0.138271604938272	0.672156554939902	0.568477314974537	0.741706740565653	0.650490121599578	0.570046640179651	0.121547297091981	0	0	1.31818256104707	0	0.987878787878788	0	1.88671948851039	0.0143907131930861	0.197030469354725	0	0.365140232171603	0	0.293072270374758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258451948841717	0.698059907080989	0.389722209634296	0.490508570619068	0	0	0	0	0	0	0.253267323795126	0	0	0.252180942843008	0.0428722986818585	0.690143745916309	0.147439202635156	0.439541034706467	0.622467282269315	0.82275922235068	1.34035916732923	0.952580848281318	0	2.26586102719033	0	0.172052407709586	0	0.210882234587716
"ASV169"	12.0296623891835	0.0932515528919687	0	0	0	0	0	0	0	0	0	0	0.727498558310784	0	0.323905723905724	0	0.787171510578691	0	0.316656111462951	0	0	0.248493823153539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV171"	0	0	0	0	0	0.268275979258817	0	0	0	0.960223647026649	0	0	0.112066530163407	0	0	0	0.109568086898235	3.06415593137229	2.40130884526071	0.015668635999152	0	0.0436132016147027	0	0.129774986917844	5.8019769083811	3.7228615918813	1.65909306068352	9.75754381341415	10.1774744027304	23.4846571067687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113262765815929	0.245138094459879	0.0151055120013293	0	1.89957513820311	2.68163471241171	0	0	3.84408945686901	0	0.094536951001269	1.82773420156874	0	0.104371538545073	0.0438896074641399	0.0569941194852419	0.0745718510437929	0	0	0.457009648506857	0	0.269628816377932	0	0.59745139050275	0	0.31986727385691	2.33879244301181	0.0978014111064204
"ASV181"	0.284125409869247	0	0.923629396276096	0.502217852070359	0.685459999866966	0.0659104133303811	0.0196124378514956	0	0	0	0	0	0.0282501044786922	0	0	0	0.00257807263289964	0	0	0	0.164902040335563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532106953497653	0.69261239387077	0.0921436232081086	0	0	0	0	0	0	0	0.0660814636100169	0	0	0.122772301120938	0.428432327166504	0.123220931223545	0.299565778764494	6.0418658037075	0.825970459930468	0.244699941130159	0	0	0	0	0	0.052230195197553	0	0.585161978236058
"ASV184"	0	0	0	0	0	0	0	0.101012968061536	4.24943859043013	12.7989303837856	36.3596135408216	22.0412698412698	0	6.43434318164761	0	0.602050735317174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316733982365622	0.17295811241522	2.58889361099306	17.8064664293565	4.72754793138244	0	1.06090170183623	0	2.2944653412144	0.0133511528518197	0	0	0.0174958070393475	0	0.0346225959489787	0	0	0	0	0	0	0	1.09807111317685	0.742938735442417	0.0238961677374426	0	0
"ASV190"	0	0	0	0	0	2.52210316009536	0	0	0	0	0	0	2.11712353233703	0	0	0	0	0	0	0	0	3.80854818751648	13.8510052646113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554544853804876	0	0	0.4078332951241	0.0893778430147219	0.36398113689952	0	0.248753354139555	0	0	0	0	0	0	0	0.213700014337701	0	0.224581018096225
"ASV206"	0.214295834514027	0.452211505446827	0.260661557269137	0.0557631377690375	0.268064415280337	0.811521964130317	0.15893715869264	0.289013963164494	2.89053952899177	2.60415084019569	0.848145143447157	1.0984126984127	0.743141178146093	1.38343381782703	0.324915824915825	1.3107146216801	1.31438736400667	0.140176206288209	0.76349306874956	0.732739154077993	0.613802039026816	0.683611578797898	0.558529828343384	1.72265829408687	1.29163551790016	0.868071092337707	0	0.426055255413537	1.8839590443686	0.643435619288209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211322475817639	0.934637623639094	0.576275282850712	1.87349482929593	0.862846738078444	0	0	0.201584245415897	0.288817891373802	1.11767866738313	0.0933232098329218	0	0	0.239209913486251	0.0728102428461393	0.123043379449447	0.267606414031439	0.153935331805496	0.277021191789012	0.389864930360997	0.474147227059547	0.484363143193891	1.48742769448707	1.25590673173755	1.11106153228325	0.112994736015621	1.73747127101372	0.0402401765562444
