"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"classifier"
"OTU16249"	NA	"Chloroflexota"	"Dehalococcoidia"	NA	NA	"Dehalogenimonas"	"Dehalogenimonas sp."	"NCBI"
"OTU16250"	NA	"Pseudomonadota"	"Betaproteobacteria"	NA	NA	"Candidatus Accumulibacter"	"Candidatus Accumulibacter phosphatis"	"NCBI"
"OTU16251"	NA	"Ignavibacteriota"	"Ignavibacteria"	"Ignavibacteriales"	"Melioribacteraceae"	"Melioribacter"	"Melioribacter roseus"	"NCBI"
"OTU16252"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"Hydrogenophaga sp. BPS33"	"NCBI"
"OTU16253"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU16254"	NA	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"Mycolicibacterium madagascariense"	"NCBI"
"OTU16255"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU16256"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU16257"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"Chondromyces crocatus"	"NCBI"
"OTU16258"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16259"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU16260"	NA	"Myxococcota"	NA	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"Sandaracinus amylolyticus"	"NCBI"
"OTU16261"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Proteus"	"Proteus vulgaris"	"NCBI"
"OTU16262"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Symmachiella"	"Symmachiella dynata"	"NCBI"
"OTU16263"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Maioricimonas"	"Maioricimonas rarisocia"	"NCBI"
"OTU16264"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU16265"	NA	"Candidatus Eisenbacteria"	NA	NA	NA	NA	"Candidatus Eisenbacteria bacterium"	"NCBI"
"OTU16266"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Rhodopila"	"Rhodopila sp."	"NCBI"
"OTU16267"	NA	"Bacillota"	"Clostridia"	"Eubacteriales"	"Desulfitobacteriaceae"	"Desulfosporosinus"	"Desulfosporosinus nitroreducens"	"NCBI"
"OTU16268"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Cupriavidus"	"Cupriavidus malaysiensis"	"NCBI"
"OTU16269"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Geobacterales"	"Geobacteraceae"	"Geobacter"	"Geobacter benzoatilyticus"	"NCBI"
"OTU16270"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU16271"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16272"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia benthica"	"NCBI"
"OTU16273"	NA	"Bacillota"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	"Selenomonas sp."	"NCBI"
"OTU16274"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU16275"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU16276"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Mycetohabitans"	"Mycetohabitans rhizoxinica"	"NCBI"
"OTU16277"	NA	"Bacteroidota"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	"uncultured Ferruginibacter sp."	"NCBI"
"OTU16278"	NA	"Campylobacterota"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	"Helicobacter rodentium"	"NCBI"
"OTU16279"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"Minicystis rosea"	"NCBI"
"OTU16280"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Fuerstiella"	"Fuerstiella marisgermanici"	"NCBI"
"OTU16281"	NA	"Streptophyta"	"Magnoliopsida"	"Poales"	"Cyperaceae"	"Carex"	"Carex extensa"	"NCBI"
"OTU16282"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas denitrificans"	"NCBI"
"OTU16283"	NA	"Lentisphaerota"	"Lentisphaeria"	"Victivallales"	"Victivallaceae"	NA	"Victivallaceae bacterium"	"NCBI"
"OTU16284"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Desulfuromonadales"	"Geothermobacteraceae"	"Geothermobacter"	"Geothermobacter ehrlichii"	"NCBI"
"OTU16285"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	NA	"Beijerinckiaceae bacterium"	"NCBI"
"OTU16286"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Lautropia"	"Lautropia mirabilis"	"NCBI"
"OTU16287"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16288"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU16289"	NA	"Myxococcota"	NA	"Haliangiales"	"Kofleriaceae"	"Haliangium"	"Haliangium ochraceum"	"NCBI"
"OTU16290"	NA	"Planctomycetota"	"Planctomycetia"	NA	NA	NA	"Planctomycetia bacterium"	"NCBI"
"OTU16291"	NA	"Kiritimatiellota"	NA	NA	NA	NA	"Kiritimatiellota bacterium B12222"	"NCBI"
"OTU16292"	NA	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium doosanense"	"NCBI"
"OTU16293"	NA	"Candidatus Sumerlaeota"	NA	NA	NA	NA	"uncultured Candidatus Sumerlaeota bacterium"	"NCBI"
"OTU16294"	NA	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"
"OTU16295"	NA	"candidate division NC10"	NA	NA	NA	"Candidatus Methylomirabilis"	"Candidatus Methylomirabilis oxyfera"	"NCBI"
"OTU16296"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Nevskiales"	"Steroidobacteraceae"	"Steroidobacter"	"Steroidobacter denitrificans"	"NCBI"
"OTU16297"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctopirus"	"Planctopirus ephydatiae"	"NCBI"
"OTU16298"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU16299"	NA	"Candidatus Gracilibacteria"	NA	NA	NA	NA	"Candidatus Gracilibacteria bacterium 28_42_T64"	"NCBI"
"OTU16300"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"Minicystis rosea"	"NCBI"
"OTU16302"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	NA	NA	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"
"OTU16303"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia alba"	"NCBI"
"OTU16304"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16305"	NA	"Kiritimatiellota"	NA	NA	NA	NA	"Kiritimatiellota bacterium B12222"	"NCBI"
"OTU16306"	NA	"Verrucomicrobiota"	"Verrucomicrobiae"	NA	NA	NA	"uncultured Verrucomicrobiae bacterium"	"NCBI"
"OTU16307"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. PKUAC-SCTA174"	"NCBI"
"OTU16308"	NA	"Calditrichota"	"Calditrichia"	NA	NA	NA	"Calditrichia bacterium"	"NCBI"
"OTU16309"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Botrimarina"	"Botrimarina mediterranea"	"NCBI"
"OTU16310"	NA	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Bacteriovorax"	"Bacteriovorax stolpii"	"NCBI"
"OTU16311"	NA	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces graevenitzii"	"NCBI"
"OTU16312"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU16313"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. PKUAC-SCTA174"	"NCBI"
"OTU16314"	NA	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	NA	NA	"uncultured Bacteroidales bacterium"	"NCBI"
"OTU16315"	NA	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Thermoanaerobaculum"	"Thermoanaerobaculum sp."	"NCBI"
"OTU16316"	NA	"Bacteroidota"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	NA	"Prolixibacteraceae bacterium"	"NCBI"
"OTU16317"	NA	NA	NA	NA	NA	NA	"uncultured bacterium"	"NCBI"
"OTU16318"	NA	"candidate division NC10"	NA	NA	NA	"Candidatus Methylomirabilis"	"Candidatus Methylomirabilis oxyfera"	"NCBI"
"OTU16319"	NA	"Chloroflexota"	"Dehalococcoidia"	"Dehalococcoidales"	"Dehalococcoidaceae"	"Dehalococcoides"	"Dehalococcoides mccartyi"	"NCBI"
"OTU16320"	NA	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	NA	NA	"uncultured Bacteroidales bacterium"	"NCBI"
"OTU16321"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter flavus"	"NCBI"
"OTU16322"	NA	"Planctomycetota"	"Candidatus Uabimicrobiia"	"Candidatus Uabimicrobiales"	"Candidatus Uabimicrobiaceae"	"Candidatus Uabimicrobium"	"Candidatus Uabimicrobium amorphum"	"NCBI"
"OTU16323"	NA	"Candidatus Parcubacteria"	NA	NA	NA	NA	"Candidatus Parcubacteria bacterium"	"NCBI"
"OTU16324"	NA	"Bacteroidota"	"Saprospiria"	"Saprospirales"	"Saprospiraceae"	"Candidatus Parvibacillus"	"Candidatus Parvibacillus calidus"	"NCBI"
"OTU16325"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Bythopirellula"	"Bythopirellula sp."	"NCBI"
"OTU16326"	NA	"Actinomycetota"	"Thermoleophilia"	"Miltoncostaeales"	"Miltoncostaeaceae"	"Miltoncostaea"	"Miltoncostaea marina"	"NCBI"
"OTU16327"	NA	"Mycoplasmatota"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Candidatus Hepatoplasma"	"Candidatus Hepatoplasma crinochetorum"	"NCBI"
"OTU16328"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. PCC 7376"	"NCBI"
"OTU16329"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. SynAce01"	"NCBI"
"OTU16330"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ralstonia"	"Ralstonia solanacearum"	"NCBI"
"OTU16331"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas denitrificans"	"NCBI"
"OTU16332"	NA	"Myxococcota"	"Myxococcia"	"Myxococcales"	NA	NA	"Myxococcales bacterium"	"NCBI"
"OTU16333"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Methylibium"	"Methylibium sp."	"NCBI"
"OTU16334"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	NA	"Beijerinckiaceae bacterium"	"NCBI"
"OTU16335"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"Minicystis rosea"	"NCBI"
"OTU16336"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Lignipirellula"	"Lignipirellula cremea"	"NCBI"
"OTU16337"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"Asticcacaulis sp. AND118"	"NCBI"
"OTU16338"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Duganella"	"Duganella dendranthematis"	"NCBI"
"OTU16339"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Phreatobacteraceae"	"Phreatobacter"	"Phreatobacter stygius"	"NCBI"
"OTU16340"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Serpentinimonas"	"Serpentinimonas raichei"	"NCBI"
"OTU16341"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16342"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"Chondromyces crocatus"	"NCBI"
"OTU16343"	NA	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"
"OTU16344"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiella"	"Coxiella burnetii"	"NCBI"
"OTU16345"	NA	"Lentisphaerota"	"Lentisphaeria"	"Victivallales"	NA	NA	"Victivallales bacterium"	"NCBI"
"OTU16346"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU16347"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16348"	NA	NA	"Deltaproteobacteria"	NA	NA	NA	"uncultured delta proteobacterium"	"NCBI"
"OTU16349"	NA	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Luteolibacter"	"Luteolibacter ambystomatis"	"NCBI"
"OTU16350"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU16351"	NA	NA	"Deltaproteobacteria"	NA	NA	NA	"uncultured delta proteobacterium"	"NCBI"
"OTU16352"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"
"OTU16353"	NA	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	NA	NA	"uncultured Phycisphaerales bacterium"	"NCBI"
"OTU16354"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Oscillatoriales"	"Oscillatoriaceae"	"Oscillatoria"	"Oscillatoria acuminata"	"NCBI"
"OTU16355"	NA	"Chloroflexota"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	"Anaerolineaceae bacterium"	"NCBI"
"OTU16356"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU16357"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium lituiforme"	"NCBI"
"OTU16358"	NA	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"
"OTU16359"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Candidatus Blochmannia"	"Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri"	"NCBI"
"OTU16360"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU16361"	NA	"Kiritimatiellota"	NA	NA	NA	NA	"Kiritimatiellota bacterium B12222"	"NCBI"
"OTU16362"	NA	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	NA	NA	"uncultured Bacteroidales bacterium"	"NCBI"
"OTU16363"	NA	"Myxococcota"	NA	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"Sandaracinus amylolyticus"	"NCBI"
"OTU16364"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU16365"	NA	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"Mycolicibacterium madagascariense"	"NCBI"
"OTU16366"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU16367"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU16368"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"Congregibacter"	"Congregibacter litoralis"	"NCBI"
"OTU16369"	NA	"Myxococcota"	NA	"Polyangiales"	"Labilitrichaceae"	"Labilithrix"	"Labilithrix luteola"	"NCBI"
"OTU16370"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Geobacterales"	"Geobacteraceae"	"Geobacter"	"Geobacter metallireducens"	"NCBI"
"OTU16371"	NA	"Lentisphaerota"	"Lentisphaeria"	"Victivallales"	"Victivallaceae"	NA	"Victivallaceae bacterium"	"NCBI"
"OTU16372"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Rubinisphaera"	"Rubinisphaera brasiliensis"	"NCBI"
"OTU16373"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"Chondromyces crocatus"	"NCBI"
"OTU16374"	NA	"Lentisphaerota"	"Lentisphaeria"	"Victivallales"	NA	NA	"Victivallales bacterium"	"NCBI"
"OTU16375"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU16376"	NA	"Myxococcota"	NA	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"Sandaracinus amylolyticus"	"NCBI"
"OTU16377"	NA	NA	NA	NA	NA	NA	"uncultured bacterium"	"NCBI"
"OTU16378"	NA	"Actinomycetota"	"Thermoleophilia"	"Solirubrobacterales"	"Capillimicrobiaceae"	"Capillimicrobium"	"Capillimicrobium parvum"	"NCBI"
"OTU16379"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Thiomonas"	"Thiomonas islandica"	"NCBI"
"OTU16380"	NA	"Lentisphaerota"	"Oligosphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Oligosphaera"	"Oligosphaera ethanolica"	"NCBI"
"OTU16381"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU16382"	NA	"Candidatus Berkelbacteria"	NA	NA	NA	NA	"uncultured Candidatus Berkelbacteria bacterium"	"NCBI"
"OTU16383"	NA	"Bacillota"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Staphylospora"	"Staphylospora marina"	"NCBI"
"OTU16384"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"Roseomonas sp. OT10"	"NCBI"
"OTU16385"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Botrimarina"	"Botrimarina mediterranea"	"NCBI"
"OTU16386"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU16387"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"Roseomonas fluvialis"	"NCBI"
"OTU16388"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU16389"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU16390"	NA	"candidate division Zixibacteria"	NA	NA	NA	NA	"uncultured candidate division Zixibacteria bacterium"	"NCBI"
"OTU16391"	NA	"Acidobacteriota"	"Thermoanaerobaculia"	NA	NA	NA	"Thermoanaerobaculia bacterium"	"NCBI"
"OTU16392"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU16393"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU16394"	NA	"Kiritimatiellota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	"Kiritimatiella"	"Kiritimatiella glycovorans"	"NCBI"
"OTU16395"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pleurocapsales"	"Hyellaceae"	"Pleurocapsa"	"Pleurocapsa sp. PCC 7327"	"NCBI"
"OTU16396"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Aristophania"	"Aristophania vespae"	"NCBI"
"OTU16397"	NA	"Bacillota"	"Clostridia"	"Eubacteriales"	"Clostridiaceae"	"Clostridium"	"Clostridium isatidis"	"NCBI"
"OTU16398"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Polystyrenella"	"Polystyrenella longa"	"NCBI"
"OTU16399"	NA	"Bacillota"	"Clostridia"	"Eubacteriales"	"Symbiobacteriaceae"	"Symbiobacterium"	"Symbiobacterium turbinis"	"NCBI"
"OTU16400"	NA	"Candidatus Saccharibacteria"	NA	NA	NA	NA	"uncultured Candidatus Saccharibacteria bacterium"	"NCBI"
"OTU16401"	NA	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Pseudobdellovibrionaceae"	"Bdellovibrio"	"Bdellovibrio reynosensis"	"NCBI"
"OTU16402"	NA	"Bacillota"	"Clostridia"	"Eubacteriales"	"Peptococcaceae"	"Dehalobacterium"	"Dehalobacterium formicoaceticum"	"NCBI"
"OTU16403"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU16404"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Pseudanabaenaceae"	"Lusitaniella"	"Lusitaniella coriacea"	"NCBI"
"OTU16405"	NA	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"
"OTU16406"	NA	"Bacteroidota"	"Cytophagia"	"Cytophagales"	"Marivirgaceae"	"Marivirga"	"Marivirga tractuosa"	"NCBI"
"OTU16407"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU16408"	NA	"Bacillota"	"Clostridia"	"Moorellales"	"Moorellaceae"	"Moorella"	"Moorella humiferrea"	"NCBI"
"OTU16409"	NA	"Bacillota"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Polycladomyces"	"Polycladomyces abyssicola"	"NCBI"
"OTU16410"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Fuerstiella"	"Fuerstiella sp."	"NCBI"
"OTU16411"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas denitrificans"	"NCBI"
"OTU16412"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Lignipirellula"	"Lignipirellula cremea"	"NCBI"
"OTU16413"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium sp. NIBR 498073"	"NCBI"
"OTU16414"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU16415"	NA	"Actinomycetota"	"Actinomycetes"	NA	NA	NA	"uncultured Actinomycetes bacterium"	"NCBI"
"OTU16416"	NA	NA	NA	NA	NA	NA	NA	"NCBI"
"OTU16417"	NA	"Bacteroidota"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Flavobacterium sp. N1719"	"NCBI"
"OTU16418"	NA	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces graevenitzii"	"NCBI"
"OTU16419"	NA	"Bacillota"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Enterocloster"	"Enterocloster lavalensis"	"NCBI"
"OTU16420"	NA	NA	NA	NA	NA	NA	"uncultured bacterium"	"NCBI"
"OTU16421"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia maris"	"NCBI"
"OTU16422"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
