"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"classifier"
"OTU112"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU113"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus denitrificans"	"NCBI"
"OTU114"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Methylophilaceae"	"Methyloradius"	"Methyloradius palustris"	"NCBI"
"OTU115"	NA	"candidate division Zixibacteria"	NA	NA	NA	NA	"uncultured candidate division Zixibacteria bacterium"	"NCBI"
"OTU116"	NA	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"Anaeromyxobacter dehalogenans"	"NCBI"
"OTU117"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia benthica"	"NCBI"
"OTU118"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Methylibium"	"Methylibium sp."	"NCBI"
"OTU119"	NA	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salisediminibacterium"	"Salisediminibacterium beveridgei"	"NCBI"
"OTU120"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU121"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Thalassoglobus"	"Thalassoglobus polymorphus"	"NCBI"
"OTU122"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ralstonia"	"Ralstonia pseudosolanacearum"	"NCBI"
"OTU123"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU124"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU125"	NA	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"Anaeromyxobacter oryzae"	"NCBI"
"OTU126"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU127"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Usitatibacteraceae"	"Usitatibacter"	"Usitatibacter palustris"	"NCBI"
"OTU128"	NA	"Candidatus Falkowbacteria"	NA	NA	NA	NA	"Candidatus Falkowbacteria bacterium"	"NCBI"
"OTU129"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU130"	NA	"Fibrobacterota"	"Fibrobacteria"	NA	NA	NA	"uncultured Fibrobacteria bacterium"	"NCBI"
"OTU131"	NA	"Chlorophyta"	"Trebouxiophyceae"	"Chlorellales"	"Chlorellaceae"	"Chlorella"	"Chlorella sorokiniana"	"NCBI"
"OTU132"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU133"	NA	NA	"Eustigmatophyceae"	"Eustigmatales"	"Monodopsidaceae"	"Microchloropsis"	"Microchloropsis salina"	"NCBI"
"OTU134"	NA	"Candidatus Kerfeldbacteria"	NA	NA	NA	NA	"Candidatus Kerfeldbacteria bacterium"	"NCBI"
"OTU135"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus denitrificans"	"NCBI"
"OTU136"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU137"	NA	"Lentisphaerota"	"Oligosphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Oligosphaera"	"Oligosphaera ethanolica"	"NCBI"
"OTU138"	NA	"Chlorophyta"	"Chlorophyceae"	"Sphaeropleales"	"Mychonastaceae"	"Mychonastes"	"Mychonastes homosphaera"	"NCBI"
"OTU139"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU140"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"
"OTU141"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"Roseomonas fluvialis"	"NCBI"
