"GRE24SC-02DNA10-12"	"GRE24SC-02DNA12-14"	"GRE24SC-02DNA16-18"	"GRE24SC-02DNA18-20"	"GRE24SC-02DNA2-4"	"GRE24SC-02DNA20-22"	"GRE24SC-02DNA22-24"	"GRE24SC-02DNA28-30"	"GRE24SC-02DNA30-32"	"GRE24SC-02DNA34-36"	"GRE24SC-02DNA38-40"	"GRE24SC-02DNA4-6"	"GRE24SC-02DNA50-52"	"GRE24SC-02DNA6-8"	"GRE24SC-02DNA60-62"	"GRE24SC-02DNA8-10"	"MUR23DNAD1110-12"	"MUR23DNAD1113-15"	"MUR23DNAD1122-24"	"MUR23DNAD1128-30"	"MUR23DNAD1131-33"	"MUR23DNAD1134-36"	"MUR23DNAD1137-39"	"MUR23DNAD1143-45"	"MUR23DNAD1146-48"	"MUR23DNAD1152-54"	"MUR23DNAD1164-66"	"MUR23DNAD1170-72"	"MUR23DNAD1176-78"	"NEU24CDNA10-12"	"NEU24CDNA13-15"	"NEU24CDNA16-18"	"NEU24CDNA19-21"	"NEU24CDNA22-24"	"NEU24CDNA25-27"	"NEU24CDNA28-30"	"NEU24CDNA31-33"	"NEU24CDNA34-36"	"NEU24CDNA37-39"	"NEU24CDNA4-6"	"NEU24CDNA40-42"	"NEU24CDNA52-54"	"NEU24CDNA7-9"	"ZUG24N02DNA1-3"	"ZUG24N02DNA10-12"	"ZUG24N02DNA13-15"	"ZUG24N02DNA16-18"	"ZUG24N02DNA19-21"	"ZUG24N02DNA22-24"	"ZUG24N02DNA25-27"	"ZUG24N02DNA31-33"	"ZUG24N02DNA34-36"	"ZUG24N02DNA37-39"	"ZUG24N02DNA4-6"	"ZUG24N02DNA40-42"	"ZUG24N02DNA47-49"	"ZUG24N02DNA7-9"	"ZUG24S03DNA1-3"	"ZUG24S03DNA10-12"	"ZUG24S03DNA13-15"	"ZUG24S03DNA16-18"	"ZUG24S03DNA19-21"	"ZUG24S03DNA22-24"	"ZUG24S03DNA25-27"	"ZUG24S03DNA28-30"	"ZUG24S03DNA31-33"	"ZUG24S03DNA34-36"	"ZUG24S03DNA37-39"	"ZUG24S03DNA4-6"	"ZUG24S03DNA40-42"	"ZUG24S03DNA7-9"
"ASV57"	0	0.3292399394573	7.38923095865793	0.23075387493952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0083741183914249	1.34876265686696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1758701706888	1.8764813333132	0	0	0	0	0	0	0	1.41099728452123	0	0	0.985402890474941	0.00974012758113381	0.79562927688467	1.7719338637197	14.132324996641	0.136473403194718	0	0	0	0	0	0	0.653119721553974	0	0.614235564542155
"ASV62"	0.486276970408452	0.50127170877089	0.123389625665741	1.16662662872649	5.71897864715544	0.288019901410533	0.257230859685577	0	0	0	0	2.37318607936304	0.747406574178228	2.2649438815198	0.598915054404064	2.34327881647568	10.3510303133515	20.0196943853418	4.46712693302566	3.99416187758187	8.13484237036138	3.85838060213177	6.22475746346338	8.40168200174862	4.1537663081411	0.726214694611345	9.63016646901217	7.78816199376947	5.83004245969298	0	0	0	0	0	0	6.77966101694915	0	0	0	0	0	0	0	1.50427649202266	0.542252096656242	1.45906613728657	0.851738312547899	1.40175543910314	0.622740056247489	1.03271698840872	0	2.39987732256498	0	1.02066406534407	2.22205803579675	0	0.802976712770737	0.707976437613756	1.00532313450591	0.80879656869015	0.441467206664235	0.416731284755301	0.36017956915708	0.227317365308021	0.35791916583588	2.52229917270743	2.53951700897039	0.301883583485692	0.442920270938902	0	0.415659516172587
"ASV68"	0.386845727239607	0	0	1.47621577179051	0	1.49719371759776	0	0	0	0	0	0.314043218884621	0	0.598395075447618	0	0.526395146698833	0	0	0	0	0	1.17808389952004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25388037981177	1.15141047783535	2.39730680394318	1.73134536333867	0	0	0	0	0	0	0.591769429695527	0	0	0.365455417152885	1.54911641051585	0.301312850451525	0.315503142240754	0.616902435747327	3.7986574207413	7.19554532180696	15.3993025928991	0	0	0	0	1.14688369077477	0	0.380093656763112
"ASV79"	1.11600817714448	0	0	0.0771435241733293	4.02702187804112	3.31350329056365	7.08988381182727	0.685158581058681	0.256020706729687	0	0.348136996612721	6.2266948410521	1.82477190351206	1.37021359707167	0.99714653036907	5.62803774789797	0	0	0	0	0	1.34549113543067	15.1871590956406	0.14571797327116	0	0	0	0.600313800395661	0.375604976394786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.59116560997701	1.620779726463	0	0	0	0	0	0	0	0	0	0	0	0.0264340470526038	0	0	0	0	6.13038717374606	0.447330836185292	7.01988161795236	0	0	0	0
"ASV81"	0	0	0	0	0	0	0	0	2.11287418410984	2.85415537138874	4.22782586877431	0	20.4399450068741	0	2.11658461634944	0	0	0	0	0	0	0	0	0	0	0.300421062591664	0	0	0	8.1906053925725	22.150826154498	34.6706354341918	33.4306569343066	4.82259731312435	11.1111111111111	0	0	0	35.9375	36.9665809768638	39.5604395604396	0	25.7557436517533	0	0.0777980052591452	0.0626500203801271	0.332683062774333	0	2.1494576134994	2.15756433055514	20.0685910983434	3.22539422904899	7.66556814590763	0.00444939420823704	34.2248656236724	93.5531545205808	0	0.00508812634835348	0	0.0481781825313585	0	0.107672197975054	0	0.0363836576201224	1.17181754294213	8.13010320946401	0	12.6004506994345	0	7.18718061030807	0
"ASV82"	0.0394688904181678	0.25980308018787	0.0380735150674189	0.620870030079207	0.372786579683131	0.354035082353301	0.602655156977638	0	0	1.97506002633413	0	0.583956944557946	0	0.620620216122656	0	0.45322311703977	6.74493358310627	13.2638168422163	6.78396635465322	10.2779623910239	17.1202880521083	8.14240300620653	6.1685472790107	0.666139306382447	4.16808346904809	0.688366371765151	0.650063688672201	4.5592014007322	5.41435315775409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528149614526774	0.800541474116604	2.03197415497954	2.23124085557026	1.83493680743709	0.128063479308959	0	0	0	0	0.627634243616468	0	0	0.749605748384548	0.201344428356274	0.433592210254935	0.264340470526038	0.184264573216377	0.807541484812903	0.657173891950862	0.729605028028296	0	0	0.896072921796394	0	0.602617256146457	0	0.131066778194176
"ASV85"	1.32600291462575	1.89976126203442	0.126620634971921	5.09654782729324	0.843403891603549	4.71562495220909	0.146487963600163	0	0.37981093855503	0.538300673844009	0.997365449755363	1.38015573741784	0	0.675846323254569	0	6.78548621705041	0	0.726230459477044	0	0	0	0.28049616655239	0.358079693550402	0	0.486783470837733	0.657614609452619	0	0	0.255351999762463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05807745941037	0.260623317618136	0	0	0	0.507231820008035	0	0	0	0	0.0686285349088683	0	0	0.416414134561167	0.394547854555181	0.327768722412207	0.680889889403358	0	0.216452134612402	1.06728637115534	3.80869279635777	5.8165950283557	0	0	0	0.176758628926311	0	0.286502756354104
"ASV90"	0.0554082500101202	0.0382292820696865	0	0	3.35868350728324	0	0	0	0	0	0	1.52375170739111	0	0.194638353184425	0	0	40.3179283038147	5.06251208918743	3.74788320896217	0.853564773186338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840479818225341	0.248953616829265	0.390241693211153	0	0	0	0	0	0	0	0.565073064446104	0	0	0.499938186171191	0.16311079322436	0.028586546212549	0	0.0245686097621835	0	0	0	0	0	0	0	0.0419716435481394	0	0.0248961015866325
"ASV100"	0.699560782091244	5.28227253577169	1.94620282180634	0.651998118780726	0.309968951614979	0.301783684309797	0	0	0	0	0	0.45296940121648	0	0.490973562184933	0	1.15966580338454	0	0.19870228068016	0	0	0.422773108393766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928130202741602	0	0.543440395736083	0	0	0	0	0	0	0.0129436922421441	0	0	0.458929987546775	0.208031680128395	0.793853715008114	1.56728317686083	2.26453482792376	1.2588342158318	2.50540151029304	2.02331773880398	0	0	0	0	0.0593745201412704	0	0.0619768031561407
"ASV111"	0.243897502327653	0.728696927614025	0.0775442233483211	0.516658602687166	0.235823554550931	0.554629473866654	0.791903575174884	3.84572880981324	6.28235426513617	1.9169700255596	3.86400702546732	0.192161761443898	0	0.178811359067352	9.28161550280644	0.176943271721006	0.392753746594005	2.52158469464911	9.70002047006718	8.45745859233486	9.57105723619666	3.22169882725888	5.73760253154016	8.80552895624297	8.33795658320955	13.1830439513649	0.623709755347652	0.557109398094458	1.52617357997565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494795313448163	0.123035582192298	1.04333588796767	0	0.675472077139413	0	0	0	0	0	0	0	0	0.0292203827434014	0.0593037666769649	0.462169467822943	0.0349334920056047	0.161065201497663	0.223633175330776	0.0914421129567678	0	3.84812309682287	2.83595492598708	0	0.208493286243197	0	0.0214053783482951
